9,126
5,3
108,3
75,9
59,63
169,0
46,59
4,63
26,5
184,95
73,104
180,118
40,117
155,121
4,109
172,4
12,136
55,105
13,50
40,116
5,127
74,17
160,190
50,9
170,128
125,18
24,2
53,3
73,9
39,134
95,90
99,116
113,129
50,2
55,117
105,115
28,37
0,111
173,9
92,138
54,180
71,9
119,66
50,87
6,102
126,115
0,74
70,66
143,139
74,114
117,141
145,116
85,105
160,0
51,2
39,105
183,2
57,62
12,115
148,83
98,2
32,37
184,26
176,123
10,37
180,74
162,16
0,105
8,2
77,104
62,54
163,44
183,105
113,114
115,111
170,129
8,133
4,6
33,23
180,112
154,2
78,119
4,2
39,52
74,128
174,0
13,168
187,4
102,2
55,63
105,114
49,117
57,148
39,9
185,105
113,116
123,126
107,3
181,114
72,69
71,138
18,2
4,115
138,2
52,63
4,54
183,122
142,3
32,2
58,3
122,123
5,146
95,150
14,147
6,104
27,26
43,134
40,130
161,133
117,118
115,114
8,200
152,0
71,49
105,107
117,63
162,12
28,32
102,70
168,4
33,2
57,38
36,2
71,5
148,112
27,5
7,116
181,111
195,129
102,200
196,41
144,114
110,98
117,115
14,198
180,145
38,3
9,2
125,114
113,136
32,33
39,0
27,94
180,129
150,170
57,72
10,2
49,74
11,17
155,120
185,115
71,50
12,5
75,159
78,11
116,146
10,125
35,168
0,5
8,125
39,137
49,126
90,2
22,17
20,17
14,15
74,63
50,93
0,12
152,4
75,74
168,115
97,78
16,2
0,158
4,106
30,10
7,198
26,17
113,147
101,102
170,111
96,26
126,198
31,25
104,198
63,118
180,146
190,0
42,25
40,129
29,5
16,127
8,9
166,4
181,133
94,106
179,4
198,0
123,114
91,2
0,195
4,120
30,2
103,162
181,115
73,114
69,2
2,5
190,4
104,3
75,149
180,141
193,164
5,54
91,26
39,130
154,150
113,127
126,79
78,77
12,194
174,4
138,113
28,29
72,9
71,72
96,2
173,141
9,17
40,128
20,2
28,77
39,54
12,38
23,2
148,113
92,80
83,26
10,12
4,126
44,193
70,2
170,141
21,2
21,19
64,117
45,10
29,2
183,15
154,94
8,17
55,137
14,26
148,133
193,0
180,123
192,4
49,115
39,146
5,63
123,111
11,35
26,15
39,128
21,17
46,10
5,125
49,180
148,80
16,116
87,105
39,136
58,118
15,2
193,111
47,10
180,107
180,116
200,4
180,127
12,168
39,70
9,18
39,109
40,121
26,116
53,79
74,106
90,26
53,2
8,18
10,117
0,54
180,143
2,63
83,84
9,110
51,9
0,116
149,74
74,120
22,2
0,115
66,2
74,123
39,115
25,18
5,105
72,3
147,198
181,170
62,2
168,117
156,74
184,99
59,105
5,107
96,147
71,58
26,25
167,129
104,78
178,4
198,4
5,136
63,67
46,108
159,0
75,180
101,2
16,115
0,35
4,49
182,146
58,50
124,38
5,130
193,39
9,85
2,12
71,66
141,147
92,93
54,109
54,2
145,147
163,4
156,75
57,69
180,144
113,14
74,117
84,78
46,137
170,4
154,4
57,50
102,7
23,17
110,85
148,149
180,106
67,2
109,120
23,43
73,102
135,79
12,114
100,2
150,156
122,116
93,26
68,87
92,126
9,111
12,123
73,105
8,117
37,2
167,0
71,13
105,128
74,107
171,126
130,142
180,128
123,116
181,141
99,2
46,13
110,10
4,107
57,9
178,183
11,2
172,0
136,87
30,37
123,129
200,0
2,141
39,129
106,107
94,2
59,115
25,2
125,126
101,198
2,3
169,129
113,106
185,4
