6,16
16,98
5,34
99,84
17,58
17,39
24,48
14,86
10,86
7,69
6,27
4,15
42,33
17,40
8,43
35,96
18,61
16,97
37,61
41,39
8,17
8,80
27,33
23,48
37,42
18,94
19,45
58,36
7,80
17,96
44,46
36,59
75,65
86,59
11,96
45,54
25,92
24,85
31,46
42,43
9,26
4,22
4,30
8,37
11,22
37,96
22,97
6,3
22,27
8,38
15,10
27,23
17,84
1,4
5,26
23,58
19,44
6,0
6,14
95,31
6,44
6,19
2,11
9,96
30,47
17,69
19,94
19,46
1,2
18,46
45,55
2,9
6,28
16,12
88,47
20,47
22,74
20,94
15,94
26,92
9,34
25,82
11,97
1,3
18,19
51,48
2,10
1,5
7,8
40,41
4,8
14,74
4,17
71,83
21,43
4,40
18,45
10,0
14,94
36,85
6,12
24,51
34,42
17,86
2,21
12,32
6,11
98,84
6,18
26,21
17,41
27,14
26,58
8,41
7,41
37,54
14,98
6,46
22,23
14,12
17,38
23,88
15,74
22,33
4,27
93,48
35,87
11,14
25,21
16,86
4,2
5,21
4,31
4,10
4,3
35,42
22,94
1,6
12,87
17,80
6,22
34,58
16,99
18,74
74,83
16,87
27,97
11,27
14,88
23,83
8,85
17,92
21,92
4,29
12,13
23,71
46,55
4,16
38,42
92,78
22,14
4,7
35,85
27,30
8,86
5,11
8,39
7,40
11,94
6,24
2,34
14,30
8,40
17,37
40,39
23,93
4,0
16,85
17,85
21,34
4,12
16,0
8,96
2,26
72,77
7,58
26,34
45,61
8,97
6,45
16,96
14,99
13,32
24,28
17,42
30,88
9,97
35,36
16,35
