precision_g4,recall_g4,precision_g35,recall_g35,precision_la,recall_la
0.65,0.8571428571428571,0.75,0.8571428571428571,0.7857142857142857,1.0
0.7307692307692307,0.6666666666666666,0.625,0.2222222222222222,0.6875,0.6666666666666666
0.8214285714285714,1.0,0.9,0.5714285714285714,0.8125,0.7142857142857143
0.9,0.8571428571428571,1.0,0.2857142857142857,0.8571428571428571,0.7142857142857143
0.7241379310344828,1.0,0.5555555555555556,0.5,0.75,0.75
0.7666666666666667,1.0,0.7,0.7142857142857143,0.8888888888888888,1.0
0.8,0.8571428571428571,0.6,0.42857142857142855,0.47368421052631576,0.2857142857142857
0.6451612903225806,0.75,0.7142857142857143,0.25,0.7777777777777778,0.5
0.6428571428571429,1.0,0.8,0.375,0.6666666666666666,0.5
0.7586206896551724,1.0,0.6,0.6,0.7857142857142857,0.8
0.8,1.0,0.6923076923076923,0.75,0.7692307692307693,1.0
0.5,0.8571428571428571,0.625,0.42857142857142855,0.5833333333333334,0.5714285714285714
0.7666666666666667,0.875,0.6666666666666666,0.375,0.625,0.75
0.7407407407407407,0.8888888888888888,0.9090909090909091,0.6666666666666666,0.7333333333333333,0.8888888888888888
0.75,0.8888888888888888,0.8,0.6666666666666666,0.9230769230769231,0.7777777777777778
0.7407407407407407,0.7777777777777778,0.85,0.8888888888888888,0.7333333333333333,0.5555555555555556
0.7037037037037037,0.6666666666666666,0.75,0.5555555555555556,0.5833333333333334,0.5555555555555556
0.7857142857142857,0.75,0.8888888888888888,0.75,0.16666666666666666,0.125
0.6896551724137931,0.8,0.7142857142857143,0.6,0.6153846153846154,0.8
0.6551724137931034,1.0,0.8333333333333334,0.5714285714285714,0.6666666666666666,0.7142857142857143
0.6785714285714286,0.7777777777777778,0.625,0.3333333333333333,0.5,0.2222222222222222
0.6206896551724138,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.7586206896551724,0.7142857142857143,0.625,0.42857142857142855,0.5,0.5714285714285714
0.7586206896551724,0.875,1.0,0.75,0.7777777777777778,0.375
0.7586206896551724,0.8333333333333334,0.8571428571428571,0.3333333333333333,0.7272727272727273,0.6666666666666666
0.7857142857142857,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.2222222222222222
0.7931034482758621,0.875,0.7692307692307693,0.75,0.7142857142857143,0.75
0.6896551724137931,1.0,0.6666666666666666,0.6666666666666666,0.7368421052631579,0.8333333333333334
0.7857142857142857,0.8571428571428571,0.7777777777777778,0.5714285714285714,0.7058823529411765,0.7142857142857143
0.6785714285714286,1.0,0.5,0.6,0.75,0.8
0.5925925925925926,0.5,0.7142857142857143,0.5,0.5625,0.3333333333333333
0.48148148148148145,0.8333333333333334,0.8571428571428571,0.6666666666666666,0.7333333333333333,0.8333333333333334
0.6071428571428571,0.8,0.7777777777777778,0.4,0.6428571428571429,0.8
0.5,1.0,0.5,0.6666666666666666,0.35294117647058826,0.6666666666666666
0.6666666666666666,0.75,0.42857142857142855,0.75,0.4375,0.75
0.7878787878787878,1.0,0.6,0.5,0.6666666666666666,1.0
0.71875,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
0.6875,0.8333333333333334,0.4,0.3333333333333333,0.2,0.16666666666666666
0.8125,1.0,0.75,0.5714285714285714,0.6923076923076923,0.8571428571428571
0.75,0.8888888888888888,0.75,0.4444444444444444,0.45,0.5555555555555556
0.75,1.0,1.0,0.2,0.16666666666666666,0.2
0.7575757575757576,0.8571428571428571,0.9090909090909091,0.5714285714285714,0.6,0.42857142857142855
0.7878787878787878,0.8333333333333334,1.0,0.6666666666666666,0.9285714285714286,0.8333333333333334
0.7575757575757576,1.0,0.625,0.8,0.7333333333333333,0.8
0.7878787878787878,1.0,0.7,0.8333333333333334,0.6470588235294118,0.8333333333333334
0.8125,1.0,0.5,0.6,0.6153846153846154,0.8
0.7878787878787878,1.0,1.0,1.0,0.6666666666666666,0.8
0.78125,0.8571428571428571,0.5454545454545454,0.8571428571428571,0.42857142857142855,0.42857142857142855
0.6296296296296297,1.0,0.8571428571428571,1.0,0.2857142857142857,0.4
0.8181818181818182,1.0,0.7,0.8333333333333334,0.0,0.0
