Question,Answer
"In the domain of Natural Language Processing, I want to learn about syntax based machine translation, what concepts should I learn first?",syntax;machine translation
"In the domain of Natural Language Processing, I want to learn about convolutional neural networks, what concepts should I learn first?",neural networks
"In the domain of Natural Language Processing, I want to learn about dependency syntax, what concepts should I learn first?",syntax
"In the domain of Natural Language Processing, I want to learn about multilingual model, what concepts should I learn first?",transferring NMT model
"In the domain of Natural Language Processing, I want to learn about NLP models, what concepts should I learn first?",tokenization
"In the domain of Natural Language Processing, I want to learn about visual knowledge augmentation, what concepts should I learn first?",visual semantic
"In the domain of Natural Language Processing, I want to learn about image retrieval, what concepts should I learn first?",information retrieval
"In the domain of Natural Language Processing, I want to learn about multilingual word embedding, what concepts should I learn first?",word embedding variations
"In the domain of Natural Language Processing, I want to learn about robotic locomotion, what concepts should I learn first?",robotics
"In the domain of Natural Language Processing, I want to learn about Visual QA, what concepts should I learn first?",question answering
"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"In the domain of Natural Language Processing, I want to learn about question answering, what concepts should I learn first?",probabilities;bayes theorem
"In the domain of Natural Language Processing, I want to learn about thesaurus-based similarity, what concepts should I learn first?",lexical semantics;wordnet;semantic similarity
"In the domain of Natural Language Processing, I want to learn about Variations of GANs, what concepts should I learn first?",generative adversarial networks;generative and discriminative models;backpropagation;loss function
"In the domain of Natural Language Processing, I want to learn about context free grammars, what concepts should I learn first?",structured learning;linguistics basics;word distributions;vector semantics;vector representations;natural language processing intro
"In the domain of Natural Language Processing, I want to learn about uncertainty, what concepts should I learn first?",search
"In the domain of Natural Language Processing, I want to learn about bag of words model, what concepts should I learn first?",vector representations
"In the domain of Natural Language Processing, I want to learn about pagerank, what concepts should I learn first?",graph-based nlp
"In the domain of Natural Language Processing, I want to learn about neural summarization, what concepts should I learn first?",seq2seq;beam search;text summarization
"In the domain of Natural Language Processing, I want to learn about Meta-Learning, what concepts should I learn first?",probabilities;optimization;machine learning resources;loss function
"In the domain of Natural Language Processing, I want to learn about sequence classification and conditional random fields, what concepts should I learn first?",classification;machine learning resources
"In the domain of Natural Language Processing, I want to learn about morphology and semantics in machine translation, what concepts should I learn first?",machine translation
"In the domain of Natural Language Processing, I want to learn about Variations of GANs, what concepts should I learn first?",generative adversarial networks;generative and discriminative models;backpropagation;loss function
